frequency_hz,magnitude_db,phase_deg
0.1,0.0042,-0.9745
0.1029,0.0044,-1.0032
0.106,0.0047,-1.0326
0.1091,0.005,-1.0629
0.1123,0.0053,-1.0941
0.1155,0.0056,-1.1263
0.1189,0.0059,-1.1593
0.1224,0.0063,-1.1934
0.126,0.0066,-1.2284
0.1297,0.007,-1.2645
0.1335,0.0074,-1.3017
0.1374,0.0079,-1.3399
0.1415,0.0084,-1.3793
0.1456,0.0088,-1.4198
0.1499,0.0094,-1.4616
0.1543,0.0099,-1.5045
0.1588,0.0105,-1.5488
0.1635,0.0112,-1.5943
0.1682,0.0118,-1.6412
0.1732,0.0125,-1.6895
0.1783,0.0133,-1.7392
0.1835,0.0141,-1.7904
0.1889,0.0149,-1.8431
0.1944,0.0158,-1.8973
0.2001,0.0167,-1.9532
0.206,0.0177,-2.0107
0.212,0.0188,-2.07
0.2182,0.0199,-2.131
0.2246,0.0211,-2.1938
0.2312,0.0223,-2.2585
0.238,0.0236,-2.3251
0.245,0.0251,-2.3937
0.2522,0.0265,-2.4644
0.2596,0.0281,-2.5371
0.2672,0.0298,-2.6121
0.275,0.0316,-2.6893
0.2831,0.0335,-2.7688
0.2914,0.0355,-2.8507
0.2999,0.0376,-2.9351
0.3087,0.0398,-3.0221
0.3178,0.0422,-3.1116
0.3271,0.0447,-3.2039
0.3367,0.0473,-3.2989
0.3465,0.0502,-3.3969
0.3567,0.0532,-3.4978
0.3672,0.0563,-3.6019
0.3779,0.0597,-3.7091
0.389,0.0632,-3.8196
0.4004,0.067,-3.9334
0.4122,0.071,-4.0508
0.4242,0.0752,-4.1719
0.4367,0.0797,-4.2967
0.4495,0.0844,-4.4253
0.4627,0.0895,-4.558
0.4762,0.0948,-4.6949
0.4902,0.1005,-4.836
0.5046,0.1065,-4.9816
0.5194,0.1128,-5.1318
0.5346,0.1195,-5.2869
0.5503,0.1267,-5.4468
0.5664,0.1342,-5.612
0.583,0.1422,-5.7824
0.6001,0.1507,-5.9584
0.6177,0.1597,-6.1402
0.6358,0.1692,-6.3279
0.6545,0.1793,-6.5219
0.6737,0.19,-6.7223
0.6934,0.2014,-6.9295
0.7138,0.2134,-7.1437
0.7347,0.2261,-7.3652
0.7562,0.2396,-7.5943
0.7784,0.2539,-7.8313
0.8012,0.2691,-8.0767
0.8247,0.2852,-8.3307
0.8489,0.3022,-8.5938
0.8738,0.3203,-8.8663
0.8994,0.3395,-9.1489
0.9258,0.3598,-9.4418
0.953,0.3813,-9.7457
0.9809,0.4041,-10.061
1.0097,0.4283,-10.3885
1.0393,0.4539,-10.7286
1.0698,0.4811,-11.0822
1.1011,0.5099,-11.4499
1.1334,0.5404,-11.8325
1.1667,0.5728,-12.231
1.2009,0.6071,-12.6461
1.2361,0.6435,-13.079
1.2723,0.682,-13.5307
1.3096,0.7229,-14.0024
1.3481,0.7662,-14.4954
1.3876,0.8121,-15.0112
1.4283,0.8607,-15.5512
1.4702,0.9123,-16.1172
1.5133,0.9668,-16.7111
1.5576,1.0247,-17.3348
1.6033,1.0859,-17.9906
1.6503,1.1507,-18.6811
1.6987,1.2193,-19.4089
1.7485,1.2919,-20.177
1.7998,1.3686,-20.9889
1.8526,1.4497,-21.8483
1.9069,1.5354,-22.7593
1.9628,1.6258,-23.7265
2.0204,1.7211,-24.755
2.0797,1.8215,-25.8506
2.1406,1.927,-27.0198
2.2034,2.0377,-28.2695
2.268,2.1536,-29.6078
2.3345,2.2748,-31.0435
2.403,2.4008,-32.5865
2.4735,2.5316,-34.2477
2.546,2.6664,-36.0392
2.6207,2.8046,-37.9741
2.6975,2.9452,-40.0668
2.7766,3.0866,-42.3327
2.858,3.2271,-44.7877
2.9418,3.3641,-47.4484
3.0281,3.4945,-50.3308
3.1169,3.6145,-53.4498
3.2083,3.7193,-56.8173
3.3024,3.8033,-60.4413
3.3992,3.8603,-64.3228
3.4989,3.8832,-68.4544
3.6015,3.8647,-72.8177
3.7071,3.7979,-77.3822
3.8158,3.6765,-82.1045
3.9277,3.4957,-86.9305
4.0429,3.2529,-91.7978
4.1615,2.9476,-96.6408
4.2835,2.5821,-101.3959
4.4091,2.1606,-106.0063
4.5384,1.6889,-110.4257
4.6715,1.174,-114.6202
4.8085,0.6232,-118.5682
4.9495,0.0435,-122.2597
5.0946,-0.5586,-125.6938
5.244,-1.1771,-128.8768
5.3978,-1.8073,-131.8197
5.5561,-2.445,-134.5369
5.719,-3.0869,-137.0441
5.8867,-3.7304,-139.3579
6.0594,-4.3734,-141.4944
6.237,-5.0145,-143.4691
6.4199,-5.6524,-145.2968
6.6082,-6.2864,-146.9909
6.802,-6.9158,-148.5637
7.0015,-7.5403,-150.0265
7.2068,-8.1597,-151.3894
7.4181,-8.7739,-152.6615
7.6356,-9.3829,-153.8509
7.8595,-9.9866,-154.9651
8.09,-10.5853,-156.0107
8.3273,-11.1791,-156.9934
8.5715,-11.7681,-157.9186
8.8228,-12.3524,-158.791
9.0815,-12.9324,-159.615
9.3478,-13.5082,-160.3942
9.622,-14.0799,-161.1323
9.9041,-14.6478,-161.8322
10.1946,-15.212,-162.4969
10.4935,-15.7728,-163.1287
10.8012,-16.3303,-163.7302
11.118,-16.8847,-164.3033
11.444,-17.4362,-164.85
11.7796,-17.9848,-165.3719
12.125,-18.5309,-165.8707
