time_s,reference,response,disturbance,baseline,method_a,method_b
0,1,0,0,0,0,0
0.02,1,0.0039,0,-0.0106,0.0039,0.0182
0.04,1,0.0102,0,-0.0198,0.0102,0.0378
0.06,1,0.0189,0,-0.0276,0.0189,0.0586
0.08,1,0.0297,0,-0.0341,0.0297,0.0807
0.1,1,0.0427,0,-0.0391,0.0427,0.1038
0.12,1,0.0578,0,-0.0429,0.0578,0.1278
0.14,1,0.0747,0,-0.0452,0.0747,0.1528
0.16,1,0.0934,0,-0.0463,0.0934,0.1785
0.18,1,0.1137,0,-0.0461,0.1137,0.2048
0.2,1,0.1357,0,-0.0446,0.1357,0.2317
0.22,1,0.1591,0,-0.0419,0.1591,0.2591
0.24,1,0.1838,0,-0.038,0.1838,0.2869
0.26,1,0.2098,0,-0.0328,0.2098,0.315
0.28,1,0.2369,0,-0.0265,0.2369,0.3433
0.3,1,0.265,0,-0.019,0.265,0.3718
0.32,1,0.294,0,-0.0105,0.294,0.4003
0.34,1,0.3238,0,-0.0008,0.3238,0.4289
0.36,1,0.3543,0,0.0099,0.3543,0.4573
0.38,1,0.3854,0,0.0216,0.3854,0.4857
0.4,1,0.417,0,0.0344,0.417,0.5139
0.42,1,0.4489,0,0.0481,0.4489,0.5418
0.44,1,0.4812,0,0.0627,0.4812,0.5694
0.46,1,0.5136,0,0.0782,0.5136,0.5967
0.48,1,0.5462,0,0.0946,0.5462,0.6236
0.5,1,0.5788,0,0.1118,0.5788,0.6501
0.52,1,0.6113,0,0.1298,0.6113,0.6761
0.54,1,0.6437,0,0.1486,0.6437,0.7016
0.56,1,0.6758,0,0.1681,0.6758,0.7265
0.58,1,0.7076,0,0.1883,0.7076,0.7508
0.6,1,0.7391,0,0.2091,0.7391,0.7746
0.62,1,0.7701,0,0.2305,0.7701,0.7977
0.64,1,0.8007,0,0.2525,0.8007,0.8202
0.66,1,0.8306,0,0.2751,0.8306,0.8419
0.68,1,0.86,0,0.2982,0.86,0.863
0.7,1,0.8886,0,0.3217,0.8886,0.8834
0.72,1,0.9166,0,0.3457,0.9166,0.9031
0.74,1,0.9437,0,0.3701,0.9437,0.922
0.76,1,0.9701,0,0.3948,0.9701,0.9402
0.78,1,0.9956,0,0.4198,0.9956,0.9576
0.8,1,1.0202,0,0.4452,1.0202,0.9743
0.82,1,1.0439,0,0.4708,1.0439,0.9902
0.84,1,1.0666,0,0.4966,1.0666,1.0054
0.86,1,1.0884,0,0.5226,1.0884,1.0198
0.88,1,1.1091,0,0.5487,1.1091,1.0335
0.9,1,1.1289,0,0.5749,1.1289,1.0464
0.92,1,1.1476,0,0.6013,1.1476,1.0586
0.94,1,1.1652,0,0.6277,1.1652,1.07
0.96,1,1.1819,0,0.6541,1.1819,1.0808
0.98,1,1.1974,0,0.6804,1.1974,1.0908
1,1,1.2119,0,0.7067,1.2119,1.1001
1.02,1,1.2254,0,0.733,1.2254,1.1088
1.04,1,1.2378,0,0.7591,1.2378,1.1167
1.06,1,1.2491,0,0.7851,1.2491,1.124
1.08,1,1.2594,0,0.8109,1.2594,1.1307
1.1,1,1.2686,0,0.8365,1.2686,1.1367
1.12,1,1.2769,0,0.8619,1.2769,1.1421
1.14,1,1.2841,0,0.887,1.2841,1.1469
1.16,1,1.2903,0,0.9119,1.2903,1.1512
1.18,1,1.2956,0,0.9364,1.2956,1.1549
1.2,1,1.2999,0,0.9606,1.2999,1.158
1.22,1,1.3033,0,0.9845,1.3033,1.1606
1.24,1,1.3058,0,1.008,1.3058,1.1627
1.26,1,1.3074,0,1.0311,1.3074,1.1644
1.28,1,1.3082,0,1.0537,1.3082,1.1656
1.3,1,1.3082,0,1.0759,1.3082,1.1663
1.32,1,1.3073,0,1.0977,1.3073,1.1666
1.34,1,1.3057,0,1.1189,1.3057,1.1665
1.36,1,1.3033,0,1.1397,1.3033,1.166
1.38,1,1.3003,0,1.16,1.3003,1.1652
1.4,1,1.2966,0,1.1797,1.2966,1.164
1.42,1,1.2922,0,1.1989,1.2922,1.1625
1.44,1,1.2873,0,1.2175,1.2873,1.1607
1.46,1,1.2818,0,1.2355,1.2818,1.1586
1.48,1,1.2757,0,1.253,1.2757,1.1562
1.5,1,1.2692,0,1.2698,1.2692,1.1536
1.52,1,1.2622,0,1.2861,1.2622,1.1507
1.54,1,1.2547,0,1.3017,1.2547,1.1477
1.56,1,1.2469,0,1.3167,1.2469,1.1444
1.58,1,1.2387,0,1.331,1.2387,1.141
1.6,1,1.2302,0,1.3448,1.2302,1.1374
1.62,1,1.2214,0,1.3578,1.2214,1.1337
1.64,1,1.2123,0,1.3703,1.2123,1.1298
1.66,1,1.203,0,1.382,1.203,1.1258
1.68,1,1.1935,0,1.3931,1.1935,1.1217
1.7,1,1.1839,0,1.4036,1.1839,1.1176
1.72,1,1.1741,0,1.4133,1.1741,1.1133
